model,epoch,train_loss,val_loss,lr,is_best
mlp,1,0.003984043380808684,7.88585950853303e-05,0.001,0
mlp,2,6.36304259476518e-05,6.107750925933942e-05,0.001,0
mlp,3,5.4488058757934984e-05,4.449411626167906e-05,0.001,0
mlp,4,5.077202516558048e-05,4.475704916752875e-05,0.001,0
mlp,5,5.206541853208494e-05,4.619984834687784e-05,0.001,0
mlp,6,4.9085003107486824e-05,3.6937734067517643e-05,0.001,0
mlp,7,4.061762419745459e-05,5.312671409648222e-05,0.001,0
mlp,8,4.723449781038133e-05,0.00011355781049312403,0.001,0
mlp,9,3.989703146092194e-05,4.290687330028353e-05,0.001,0
mlp,10,4.4655775265834696e-05,5.5734583599260076e-05,0.001,0
mlp,11,4.208312509564816e-05,3.672471950179897e-05,0.001,0
mlp,12,4.028610501787625e-05,5.182454444662047e-05,0.001,0
mlp,13,4.1791014988973204e-05,4.379677919360499e-05,0.001,0
mlp,14,4.027845768474175e-05,3.309418676731487e-05,0.001,0
mlp,15,3.638918629398436e-05,3.276191765791737e-05,0.001,0
mlp,16,3.6075802240853334e-05,3.8304982855527974e-05,0.001,0
mlp,17,3.7137872822682504e-05,2.9499406098620965e-05,0.001,0
mlp,18,3.600122572139039e-05,3.44153385310589e-05,0.001,0
mlp,19,3.5588412194961817e-05,2.8452410210932915e-05,0.001,0
mlp,20,3.468590413702519e-05,2.760557127650827e-05,0.001,0
mlp,21,3.3325429375150374e-05,2.6839382274386782e-05,0.001,0
mlp,22,3.3770300618821886e-05,2.8386589775715643e-05,0.001,0
mlp,23,3.662838941007586e-05,2.6450060638793123e-05,0.001,0
mlp,24,3.0479014973222678e-05,2.8946457562657695e-05,0.001,0
mlp,25,3.0675538547969024e-05,2.599268691497855e-05,0.001,0
mlp,26,3.0469964546417552e-05,2.7462876830250025e-05,0.001,0
mlp,27,3.315532827650064e-05,2.5469608901184983e-05,0.001,0
mlp,28,2.908584527313776e-05,2.584810007266545e-05,0.001,0
mlp,29,3.0796433418373844e-05,2.7104953918217993e-05,0.001,0
mlp,30,2.967365044235651e-05,2.6034986406836347e-05,0.001,0
mlp,31,2.9739600370687966e-05,3.144415126259749e-05,0.001,0
mlp,32,2.863297268540399e-05,2.4190837225178258e-05,0.001,0
mlp,33,3.127985088828219e-05,2.5290785351923356e-05,0.001,0
mlp,34,2.7759719886567576e-05,3.5463001416840904e-05,0.001,0
mlp,35,2.879497092832545e-05,2.3856912882183678e-05,0.001,0
mlp,36,2.851913058939057e-05,2.4351835424701373e-05,0.001,0
mlp,37,2.8870221306403568e-05,3.442604481979894e-05,0.001,0
mlp,38,2.8233898064354435e-05,2.519617973496982e-05,0.001,0
mlp,39,2.7528806756599806e-05,2.3434421498095615e-05,0.001,0
mlp,40,2.8290623605550667e-05,2.6014304404185776e-05,0.001,0
mlp,41,2.7796206084645486e-05,2.288763949065469e-05,0.001,0
mlp,42,2.8341939375636036e-05,2.7908873470732942e-05,0.001,0
mlp,43,2.732743251894135e-05,2.2658526281593367e-05,0.001,0
mlp,44,2.9478243915031532e-05,2.441790127835702e-05,0.001,0
mlp,45,2.6904125527611802e-05,2.7529973052442075e-05,0.001,0
mlp,46,2.637960557859125e-05,2.2871684817946516e-05,0.001,0
mlp,47,2.7983145865644995e-05,2.2645300276732692e-05,0.001,0
mlp,48,2.7620969748656664e-05,2.7179539306865383e-05,0.001,0
mlp,49,2.6803318432316052e-05,2.7420135675929488e-05,0.001,0
mlp,50,2.618646537386147e-05,2.41388938286885e-05,0.001,0
mlp,51,2.6462384197594866e-05,2.5197529080323873e-05,0.001,0
mlp,52,2.71826507176073e-05,2.226829280417102e-05,0.001,0
mlp,53,2.671958330353456e-05,2.8575133652581522e-05,0.001,0
mlp,54,2.6702318173982867e-05,2.3741965238198948e-05,0.001,0
mlp,55,2.6722710845892185e-05,2.3305398520315067e-05,0.001,0
mlp,56,2.6673601312296732e-05,2.1979350532831935e-05,0.001,0
mlp,57,2.5362177691256097e-05,3.569621008588001e-05,0.001,0
mlp,58,2.69898717725716e-05,4.377195277561744e-05,0.001,0
mlp,59,2.7245882196335254e-05,2.4583818442188203e-05,0.001,0
mlp,60,2.5216775857261382e-05,2.2027968884988997e-05,0.001,0
mlp,61,2.6680547011617038e-05,2.4499608453867646e-05,0.001,0
mlp,62,2.6323629639976257e-05,2.1976132084576723e-05,0.001,0
mlp,63,2.5211286634273296e-05,2.438522427226417e-05,0.001,0
mlp,64,2.576612578305815e-05,2.214170691634839e-05,0.001,0
mlp,65,2.5113162233693793e-05,2.142712346491559e-05,0.001,0
mlp,66,2.7415782162487242e-05,2.500318216276355e-05,0.001,0
mlp,67,2.5370296742600787e-05,3.394638518143135e-05,0.001,0
mlp,68,2.5010125915037602e-05,2.1349487629486247e-05,0.001,1
deep_mlp,1,0.050614084066418666,0.0005145626669625441,0.001,0
deep_mlp,2,0.0016648028715220945,0.00039013997594515484,0.001,0
deep_mlp,3,0.001324280055878418,0.0003116908247799923,0.001,0
deep_mlp,4,0.0011877018946036696,0.0002739689616703739,0.001,1
resnet,1,0.21755135157380254,0.00034984595500243206,0.001,0
resnet,2,0.001288531684103821,0.00018907314970934144,0.001,0
resnet,3,0.0008861522618814238,0.00014011882820166648,0.001,0
resnet,4,0.0006611740697760667,0.00010060991818783804,0.001,0
resnet,5,0.0005383320569406662,7.634735964393865e-05,0.001,0
resnet,6,0.0004557974931996848,6.279989005144065e-05,0.001,0
resnet,7,0.00039581555393923605,7.058441616517181e-05,0.001,0
resnet,8,0.00035129156285231667,6.616985817827905e-05,0.001,0
resnet,9,0.00032601719192096166,6.73233793132628e-05,0.001,0
resnet,10,0.0003150150691385248,4.51882038183976e-05,0.001,0
resnet,11,0.00026721973139925726,6.05865805518503e-05,0.001,0
resnet,12,0.0002515634696398463,6.281710050612067e-05,0.001,0
resnet,13,0.0002488810980193583,7.372268244313696e-05,0.001,0
