epoch,train_loss,val_loss,lr
1,0.004042044290058714,7.773997183966761e-05,0.001
2,5.5239239444324215e-05,4.3207434986252335e-05,0.001
3,4.8384545200138483e-05,3.869311255596888e-05,0.001
4,4.734696917817928e-05,3.561159587115981e-05,0.001
5,4.5518239628457065e-05,3.413430399261415e-05,0.001
6,4.3155955743610064e-05,3.6952433688178036e-05,0.001
7,4.283743574500217e-05,3.343463580356911e-05,0.001
8,3.935554786485487e-05,5.275692310533486e-05,0.001
9,3.947611711636585e-05,3.499860660444635e-05,0.001
10,4.054890041755113e-05,4.342279172618873e-05,0.001
11,3.629693616497596e-05,3.5493824981773895e-05,0.001
12,4.0422356397279405e-05,4.3576606115481506e-05,0.001
13,3.92120847555842e-05,3.019178097039306e-05,0.001
14,3.75416853380323e-05,4.320282675209455e-05,0.001
15,3.635790575827871e-05,2.9741643061473346e-05,0.001
16,3.779344048301157e-05,3.935527935740538e-05,0.001
17,3.4156170566566286e-05,3.793077801897501e-05,0.001
18,3.56195961659874e-05,2.8449548948944235e-05,0.001
19,3.629316118828553e-05,2.928521849758302e-05,0.001
20,3.2362288798405125e-05,4.592776001431048e-05,0.001
21,3.385271172571395e-05,4.478560315794311e-05,0.001
22,3.221733199565539e-05,2.6758456280222163e-05,0.001
23,3.443468230202728e-05,2.5827725572356332e-05,0.001
24,3.233307080584512e-05,2.5763743416949484e-05,0.001
25,2.8472717319548664e-05,2.6443808796466328e-05,0.001
26,3.292816408369357e-05,2.884073264664039e-05,0.001
27,2.9248289948196283e-05,2.4684786126599648e-05,0.001
28,3.0473727323613796e-05,2.7195510462624952e-05,0.001
29,2.8673277966777926e-05,2.4233830766558336e-05,0.001
30,3.112502489105931e-05,3.6023477700073275e-05,0.001
31,2.8928989264864608e-05,2.34670790261589e-05,0.001
32,2.911277841377471e-05,2.3683063923187243e-05,0.001
33,2.80347251141211e-05,2.380168504663743e-05,0.001
34,2.8585984250031678e-05,2.3292764211655593e-05,0.001
35,2.8172826192541312e-05,3.561490264255554e-05,0.001
36,2.8723314971845995e-05,2.3084358967801865e-05,0.001
37,2.8045330718159676e-05,2.707406552081617e-05,0.001
38,2.7696057300199755e-05,2.266684181910629e-05,0.001
39,2.796101192927121e-05,6.521997831218566e-05,0.001
40,2.80378959182417e-05,2.5096965420913573e-05,0.001
41,2.6786224969878925e-05,2.4852786964232412e-05,0.001
42,2.9029800376655268e-05,3.155278466156839e-05,0.001
43,2.5632137894946416e-05,2.2195320365717634e-05,0.001
44,2.656400653201022e-05,2.2457787143454575e-05,0.001
45,2.94923013706492e-05,2.218454364434971e-05,0.001
46,2.6385034371466775e-05,4.17649130965583e-05,0.001
47,2.7115838668458828e-05,2.318866223155055e-05,0.001
48,2.6260112902715005e-05,2.7023811984690838e-05,0.001
49,2.6589631152289387e-05,2.4904284154763444e-05,0.001
50,2.7605816814798996e-05,2.242811176906495e-05,0.001
51,2.52947518567089e-05,2.7800527397581998e-05,0.001
52,2.2787398790574765e-05,2.1747068651408577e-05,0.0005
53,2.2434134934280467e-05,2.1683983093632074e-05,0.0005
54,2.2406772103110727e-05,2.162639938935172e-05,0.0005
55,2.2606656767062044e-05,2.164823898036654e-05,0.0005
56,2.2324869042911034e-05,2.2056968446898586e-05,0.0005
57,2.2673573018484084e-05,2.234816609280339e-05,0.0005
58,2.245018318536625e-05,2.153801074755999e-05,0.0005
59,2.2411569738926897e-05,2.298572500740799e-05,0.0005
60,2.274605170673957e-05,2.163827284530271e-05,0.0005
61,2.2794662220653014e-05,2.3586475203434627e-05,0.0005
62,2.3384582754141385e-05,2.410805949009955e-05,0.0005
63,2.3284658655590778e-05,2.1608527994637067e-05,0.0005
64,2.264479410892818e-05,2.1312674670286166e-05,0.0005
65,2.3085392025116433e-05,2.1525721240711087e-05,0.0005
66,2.3682352418545635e-05,2.1694046855554917e-05,0.0005
67,2.2960174335416275e-05,2.2049252572857464e-05,0.0005
68,2.2732037506398878e-05,2.20999149758912e-05,0.0005
69,2.3232410472701304e-05,2.1851889288712603e-05,0.0005
70,2.299070697011692e-05,2.205907161910242e-05,0.0005
71,2.1961786200658285e-05,2.1283170816022903e-05,0.00025
72,2.1937758824871188e-05,2.115858990349807e-05,0.00025
73,2.1845808125716368e-05,2.134098893671762e-05,0.00025
74,2.19796480300803e-05,2.123167186548623e-05,0.00025
75,2.1814554382997033e-05,2.150874729132435e-05,0.00025
76,2.1981375916179138e-05,2.1430529586505145e-05,0.00025
77,2.1961994385429923e-05,2.124915995867923e-05,0.00025
78,2.1880087999826563e-05,2.113046779685343e-05,0.00025
79,2.2032912992456527e-05,2.0853801333966354e-05,0.00025
80,2.1827150883452433e-05,2.1158988412159184e-05,0.00025
81,2.1925988364548954e-05,2.1526014307164588e-05,0.00025
82,2.1842302227243115e-05,2.115699673013296e-05,0.00025
83,2.214990720019809e-05,2.1384313042120387e-05,0.00025
84,2.1907995456297483e-05,2.0986161120429944e-05,0.00025
85,2.1982614314682515e-05,2.1134685303162164e-05,0.00025
86,2.1596488976834474e-05,2.1034589299815708e-05,0.000125
87,2.1557112853209088e-05,2.0846149267163127e-05,0.000125
88,2.1518063695236507e-05,2.0967170893369864e-05,0.000125
89,2.1586931116596263e-05,2.1300092437886633e-05,0.000125
90,2.1586565545460743e-05,2.096803596941754e-05,0.000125
91,2.1534854416469377e-05,2.116620520867097e-05,0.000125
92,2.149491188432356e-05,2.223426014340172e-05,0.000125
93,2.1628670691113385e-05,2.0926698081893848e-05,0.000125
94,2.144591746003633e-05,2.0895332190751407e-05,6.25e-05
95,2.1475804833213e-05,2.078146710215757e-05,6.25e-05
96,2.1404326066674133e-05,2.088763033990593e-05,6.25e-05
97,2.1384353385489834e-05,2.088697322275645e-05,6.25e-05
98,2.1395581906544978e-05,2.085136166482698e-05,6.25e-05
99,2.1384079796095777e-05,2.0941748026331575e-05,6.25e-05
100,2.1420495824090073e-05,2.088080717056679e-05,6.25e-05
101,2.138735199230723e-05,2.080309336578163e-05,6.25e-05
102,2.134190278352305e-05,2.0780620178362977e-05,3.125e-05
103,2.1339893438188094e-05,2.0718755213116917e-05,3.125e-05
104,2.1305777448329276e-05,2.0841731217806227e-05,3.125e-05
105,2.134150036502563e-05,2.0717047605042655e-05,3.125e-05
106,2.133313759487854e-05,2.07364938177246e-05,3.125e-05
107,2.129175199337104e-05,2.0843360705766827e-05,3.125e-05
108,2.1304343351761676e-05,2.0771310310422755e-05,3.125e-05
109,2.1355193989916837e-05,2.070709919265937e-05,3.125e-05
110,2.1295721121963912e-05,2.075847722182516e-05,3.125e-05
111,2.1304083219479903e-05,2.084165403037332e-05,3.125e-05
112,2.130379854435367e-05,2.0818673806691852e-05,3.125e-05
113,2.130850798832918e-05,2.0774295455194078e-05,3.125e-05
114,2.1288776081471172e-05,2.068469459792444e-05,3.125e-05
115,2.1270257897475468e-05,2.072143482102547e-05,3.125e-05
116,2.1287379568259766e-05,2.0711266994282293e-05,3.125e-05
117,2.1266443521017207e-05,2.0724151920100364e-05,3.125e-05
118,2.12945765384107e-05,2.0707507566160834e-05,3.125e-05
119,2.125832916636552e-05,2.062858586354802e-05,3.125e-05
120,2.130113907798659e-05,2.061712990476129e-05,3.125e-05
121,2.1210751125389444e-05,2.0753372055478395e-05,3.125e-05
122,2.1270359921618366e-05,2.0668779600528067e-05,3.125e-05
123,2.1250390695640816e-05,2.060655468298743e-05,3.125e-05
124,2.122347239804055e-05,2.0714437309070492e-05,3.125e-05
125,2.1232982323189e-05,2.0685133217290666e-05,3.125e-05
126,2.1221053126417767e-05,2.0643559993671563e-05,3.125e-05
127,2.120251641392575e-05,2.077463721584839e-05,3.125e-05
128,2.12705929432663e-05,2.0652546622247125e-05,3.125e-05
129,2.122610089759941e-05,2.0676694712795628e-05,3.125e-05
130,2.118538231979723e-05,2.0650477608821043e-05,1.5625e-05
131,2.119662400651058e-05,2.0642072452853125e-05,1.5625e-05
132,2.1180550527393018e-05,2.0625743742954606e-05,1.5625e-05
133,2.1179705110677916e-05,2.0651780352733718e-05,1.5625e-05
